molregno,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,full_mwt,alogp,hba,hbd,rtb,psa,assay_type,assay_description
825725,COc1ccc2nc3cccc(OC)c3nc2c1,IC50,100000.0,nM,,active,240.26,2.8,4.0,0.0,2.0,44.24,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1032737,O=C(O)c1ccc2c(c1)C(=O)/C(=C\c1ccco1)C2=O,IC50,12310.0,nM,,active,268.22,2.44,4.0,1.0,2.0,84.58,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
853683,O=C1NN(c2ccccc2)C(=O)/C1=C\c1ccccc1OCC(=O)N1CCOCC1,IC50,100000.0,nM,,active,407.43,1.39,5.0,1.0,5.0,88.18,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
407964,O=C(O)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,IC50,50970.0,nM,,active,306.28,3.85,5.0,1.0,3.0,89.36,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
807339,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3n2C)c(Cl)c1=O,IC50,100000.0,nM,,active,372.77,2.37,8.0,0.0,4.0,119.64,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
909043,C[n+]1c2ccccc2nc2ccc(NCCO)cc21.[O-][Cl+3]([O-])([O-])[O-],IC50,18640.0,nM,,active,353.76,1.62,3.0,2.0,3.0,49.03,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
807495,C=CCOc1c(Br)cc(/C=C2/C(=O)ON=C2C)cc1OC,IC50,100000.0,nM,,active,352.18,3.34,5.0,0.0,5.0,57.12,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1111132,Nc1cccc2c(O)cc(S(=O)(=O)O)cc12,IC50,42740.0,nM,,active,239.25,1.37,4.0,3.0,1.0,100.62,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
864870,O=C(Nc1ccccc1C(=O)O)c1cccc(C(=O)Nc2ccccc2C(=O)O)c1,IC50,54900.0,nM,,active,404.38,3.59,4.0,4.0,6.0,132.8,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1683349,CCOc1cc(/C=N/NC2=NC(=O)C(CC(=O)O)S2)ccc1OCc1ccc(Cl)cc1,IC50,47940.0,nM,,active,461.93,3.71,7.0,2.0,9.0,109.58,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
103693,O=c1c(O)cccc2cc(O)c(O)c(O)c12,IC50,12190.0,nM,,active,220.18,1.02,5.0,4.0,0.0,97.99,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1009993,COC(=O)c1ccc(N2NC(=O)/C(=C/c3cc(OC)c(OC)c(OC)c3)C2=O)cc1,IC50,46630.0,nM,,active,412.4,1.96,7.0,1.0,6.0,103.4,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1683434,O=C(O)c1ccc(Cl)c(-c2ccc(/C=N/NC(=O)C(O)(c3ccccc3)c3ccccc3)o2)c1,IC50,51520.0,nM,,active,474.9,4.68,5.0,3.0,7.0,112.13,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
742242,O=C(CN1C(=O)/C(=C2/SC(=S)N(CCS(=O)(=O)O)C2=O)c2ccccc21)Nc1cccc(C(F)(F)F)c1,IC50,35330.0,nM,,active,571.58,3.15,7.0,2.0,6.0,124.09,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
797274,O=C(O)c1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O,IC50,100000.0,nM,,active,343.34,3.9,4.0,2.0,3.0,83.47,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
291227,COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O,IC50,71170.0,nM,,active,386.31,2.32,9.0,2.0,2.0,128.59,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
734485,CC(=C\c1ccccc1)/C=C1/SC(=S)N(C(C(=O)O)C(C)C)C1=O,IC50,34090.0,nM,,active,361.49,3.94,4.0,1.0,5.0,57.61,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
