bit_index,mean_abs_shap
283,0.0004103652672195395
26,0.00040957497655182146
523,0.0004070394732474288
1501,0.00040489360612442504
994,0.00040454700563371995
1349,0.0004011613685371475
1956,0.0004008304527725621
1536,0.0003982454047822905
1765,0.00039773905094274436
881,0.00039167190576941787
552,0.0003897599928755111
1267,0.00038887359632037847
1582,0.0003875686891229317
1939,0.0003859954065626919
564,0.0003841445337152405
468,0.00038161233525592597
240,0.0003780655795404067
1677,0.0003739149162098635
419,0.00037290646799562223
165,0.000372308436375379
1646,0.000370019438551111
1808,0.0003694458323693118
391,0.0003689318919248465
1043,0.0003666630964671574
1637,0.00036406196710803845
7,0.0003580944563242781
1575,0.00035460114947018467
1715,0.00035308721732743277
383,0.00034872161413924556
1807,0.0003481693735450807
1075,0.0003475663865360224
1738,0.0003474216180667813
586,0.0003452098907920592
1822,0.00034440383903776056
1825,0.0003393660835667247
1663,0.00033578419895899825
1554,0.00033160865518216227
1904,0.00033126748782718045
432,0.000331089871781279
556,0.0003310236849398391
388,0.0003292535061569826
584,0.0003271259080950708
1093,0.00032693228140914934
1292,0.0003268572141577027
1373,0.0003266606862401731
820,0.00032556151484411296
615,0.0003243202948789598
825,0.00032263159424515545
1163,0.00032175441675237593
1879,0.00032120113615506613
1817,0.0003201988157853606
392,0.0003192164345536443
1049,0.0003108857720792202
724,0.000310362518294905
1238,0.00031011072664377385
660,0.00030978246098487363
193,0.0003064039842628777
1823,0.0003053888011528496
716,0.00030415507146213256
1671,0.0003026948959843091
780,0.0003019836822805185
1848,0.0003010758583849302
1136,0.0002972183666296809
285,0.0002933227177597619
1162,0.0002929324455648764
1376,0.0002920935129366414
455,0.0002893832134748095
774,0.00028713091525938437
1111,0.00028704018782482087
898,0.0002858047221748857
841,0.00028567673925732534
33,0.0002848330412790366
1701,0.0002841802868753741
1486,0.0002833413710241365
929,0.00028305906047372884
567,0.0002818705747215537
69,0.00028165746788386917
1693,0.00028079949855531095
833,0.00027895508079777873
68,0.000278545045045126
1961,0.0002781877564154321
257,0.0002778835622789945
1309,0.00027765434508814345
1932,0.00027753286635184805
311,0.0002763880955552905
1243,0.0002753231567758598
596,0.00027201972047274865
888,0.00027020461544056544
1225,0.0002697291788597854
1342,0.00026776584374085506
879,0.00026677914986903756
790,0.00026452035188056426
63,0.0002633018348895436
1937,0.0002630974598543025
97,0.0002611127766294233
186,0.00026062180702275515
1617,0.000259792760828037
501,0.00025859398507420027
58,0.0002548475529690285
1070,0.00025380128796819855
1982,0.00025337057525254096
1339,0.0002521491909768866
1803,0.0002516419663798844
1290,0.00025091412722546386
743,0.00025044149131161217
448,0.00025013459686401747
1791,0.00024997004550355906
781,0.00024935064191728144
582,0.00024727608467750025
863,0.000244941740746774
957,0.0002447557688865493
1092,0.00024347582860208757
354,0.00024283272533191433
1464,0.00024280702771577596
652,0.00024197783498794973
680,0.00023888267821090597
1726,0.00023727542579721485
447,0.0002361904531413561
686,0.0002355165770419487
218,0.00023528829229645129
913,0.00023524441104227984
1530,0.00023477829631038939
1496,0.00023419080793834807
1446,0.0002334078517880803
2,0.00023287935714606418
291,0.0002321930655518778
531,0.00023107468744979918
1763,0.0002300740099692638
1417,0.00022957546601612663
1253,0.00022865968355432112
1809,0.00022844006082131226
980,0.00022840648623587357
1101,0.00022828796925011106
415,0.00022730123093732445
876,0.00022698999011996023
526,0.00022553959934161187
451,0.00022553497247719583
2015,0.0002248689761050664
798,0.00022468105541159338
52,0.00022311185604295374
203,0.00022236680507251545
387,0.00022190188846842317
168,0.00022113217138230548
751,0.00021888476774397563
1141,0.00021845771095033972
818,0.0002182710608318119
530,0.00021782072609115183
90,0.00021771095123665422
43,0.00021747435927989473
1856,0.00021622343060516262
209,0.00021620629288306696
174,0.0002146738668940388
1457,0.0002139647055884633
770,0.00021330605588442268
1134,0.00021277881387281723
1717,0.00021236710448195586
1195,0.00021099418948001983
1958,0.00021079196433316152
1599,0.00021018620349059537
794,0.00020956233772341135
709,0.00020956158584023443
1353,0.00020909689193485557
167,0.00020873465207834114
2033,0.00020782476392387894
1984,0.00020742362855970272
1181,0.00020718355132198974
1778,0.00020679348159192797
345,0.00020648024288184445
374,0.00020609796261425375
1327,0.00020515565109555957
1578,0.00020441963857322068
592,0.00020368418229097448
871,0.00020346548238906243
1040,0.00020339239492487654
1470,0.00020084716175708053
640,0.0001978940075616873
1851,0.0001978227858582127
1972,0.0001962970854331299
835,0.00019525161268596386
1506,0.00019372273524865697
231,0.00019256511311049638
906,0.00019003840276040588
648,0.00018947140429723437
143,0.00018894465218636297
1405,0.00018856101330296362
1912,0.00018468706704800414
797,0.00018412231549618796
263,0.00018409611360777262
674,0.00018271586513288847
1125,0.0001786291319365074
1169,0.00017701300042438688
1317,0.00017621774484485785
1155,0.0001752135957214174
2007,0.00017497341775957442
987,0.0001749569783165161
764,0.00017491017624373973
1583,0.0001734950900795846
2017,0.0001731775896889037
1055,0.00017298910818761132
527,0.00017283022075670758
831,0.000172293309199949
1634,0.00017199622512991796
803,0.00017164385934630776
1184,0.00017143939660029973
668,0.0001695581376163162
1680,0.00016805718523054273
1260,0.00016731467633623968
1487,0.0001673026303902923
32,0.00016705992994047966
1307,0.00016673987174078302
1347,0.0001647558589859219
717,0.00016340039365908999
1004,0.00016278350611347847
907,0.0001627650081269183
1620,0.00016164754430803788
1805,0.00016136925344423323
901,0.00016037649373128128
1081,0.0001602876473247423
235,0.00015997019421485993
244,0.00015954141843187947
403,0.00015939854441047871
1655,0.00015936005948416292
895,0.00015912216260898204
364,0.00015902005966103106
316,0.00015834026181042743
758,0.00015820257624494605
1712,0.0001577024592994343
1567,0.00015766911829793407
18,0.00015681027987376347
1639,0.00015637887237313915
1950,0.00015609984272906146
1662,0.0001560404972238494
94,0.0001558413695316853
873,0.00015540814078177832
834,0.0001550488052956963
1611,0.00015504060523157675
696,0.00015500338603714482
1404,0.00015468159391977818
249,0.00015460107629720646
351,0.0001544087658558786
204,0.00015395550850692342
45,0.0001536239459366895
210,0.00015355042387189575
236,0.0001535307775713475
1354,0.00015188478610658453
307,0.00015187964078034738
277,0.00015144802246278016
1733,0.00014985449091567074
945,0.0001494801033076532
373,0.0001488264712799598
1447,0.0001478573343567622
289,0.00014773518856956791
264,0.00014709280775045296
1921,0.00014623288680756094
428,0.00014592897053493646
445,0.00014536022307763078
1439,0.0001449825481765578
809,0.0001446051806167339
744,0.0001444881692803949
298,0.0001436965220375791
817,0.0001431884639938284
607,0.0001431568119921479
1560,0.00014276521310004747
211,0.0001427339465406641
932,0.00014248790911783346
568,0.00014224754097669906
1416,0.00014210005005970878
1285,0.00014140771235245008
1645,0.00014039793593558346
608,0.00013975271948254734
1544,0.00013954953605009948
511,0.00013868719506309848
437,0.00013824547201852572
1666,0.00013824297260814266
1945,0.00013781506041662034
1971,0.00013759171005346964
369,0.00013729704381413053
14,0.0001371897838253081
1764,0.00013564989725658284
1737,0.00013549368029130372
1527,0.00013507185775690574
614,0.00013405054815704553
516,0.00013327264147529742
1779,0.00013324735297998906
1390,0.0001328552595475118
171,0.00013184602966521259
725,0.0001316486508089734
890,0.0001297474928385581
230,0.00012935898144480693
299,0.00012930610872280963
1750,0.00012894063856594838
113,0.00012852201884045055
572,0.0001282026941065725
24,0.0001281106260548985
228,0.0001275980902241779
1824,0.0001271861450051318
1200,0.0001264615184932693
1854,0.00012516745420391084
1054,0.00012508285255458898
851,0.00012480579560753983
1783,0.00012356928257771304
189,0.00012223292724485217
213,0.00012172694968467161
1768,0.00012153462512904504
116,0.0001211491510419838
917,0.00012000117696765458
27,0.00011927985576553806
555,0.00011913360330844556
1462,0.00011860911910061429
892,0.0001179561665655846
56,0.00011719735353458396
1087,0.00011695272344081341
814,0.00011689539381037155
463,0.00011602134512390514
92,0.00011594657637508757
401,0.0001150398181616015
1545,0.0001149741440571379
414,0.00011487847309162986
1940,0.00011367311020643336
435,0.00011239465436958535
1272,0.00011225466691074676
1786,0.00011209597605201199
2014,0.00011194330456239955
124,0.00011142181236833279
1366,0.0001107742548831492
931,0.00011070477280644575
1508,0.00011069543249546274
947,0.00011062234199967287
1058,0.00011012441285819238
1436,0.00010984281161051104
1887,0.0001095051099716034
1880,0.00010904770054341289
1661,0.00010891982586887229
554,0.00010854627597262653
713,0.00010847068463149746
1356,0.00010744970224894287
1203,0.00010743371823490879
541,0.00010740038469906427
1681,0.00010616084257286234
1641,0.00010544324839804012
1963,0.00010534961953171729
1252,0.00010529882915246561
266,0.00010454615010801768
838,0.00010437624614907671
1123,0.00010424735486349795
722,0.00010388212841549335
1718,0.00010364532259753622
1588,0.000103494474428789
1595,0.0001031776024328436
682,0.00010274883882904419
1032,0.00010266099023874359
795,0.00010244240892119312
575,0.00010167741464740759
813,0.00010143324304520206
1034,0.0001013614291331116
247,0.00010100280631084983
